Flags	1
SA-Sample	1 in 16
FTab-Chars	10
Sequence-345	NC_005361.1 Sulfolobus virus Kamchatka 1, complete genome	17385
Sequence-346	NC_005830.1 Acidianus filamentous virus 1, complete genome	20869
Sequence-347	NC_005843.1 Tomato chino La Paz virus segment A, complete genome	2606
Sequence-348	NC_005855.1 Tomato leaf curl Sudan virus - [Gezira], complete genome	2779
Sequence-349	NC_005885.1 Actinoplanes phage phiAsp2, complete genome	58638
Sequence-350	NC_004037.2 Ovine adenovirus 7, complete genome	29576
Sequence-351	NC_004062.1 Phthorimaea operculella granulovirus, complete genome	119217
Sequence-352	NC_004071.1 Hollyhock leaf crumple virus, complete genome	2755
Sequence-353	NC_004101.1 Pepper golden mosaic virus DNA A, complete sequence	2613
Sequence-354	NC_004096.1 Pepper golden mosaic virus DNA B, complete sequence	2595
Sequence-355	NC_004153.1 Tomato leaf curl Vietnam virus DNA A, complete genome	2745
Sequence-356	NC_004192.1 Pepper leaf curl Bangladesh virus segment A component, complete genome	2753
Sequence-357	NC_004289.1 Planococcus citri densovirus, complete genome	5380
Sequence-358	NC_004306.1 Vibrio phage fs1, complete genome	6340
Sequence-359	NC_003315.1 Haemophilus phage HP2, complete genome	31508
Sequence-360	NC_004462.2 Thermus thermophilus phage IN93, complete genome	19604
Sequence-361	NC_004569.1 Tomato yellow leaf curl Malaga virus, complete genome	2782
Sequence-362	NC_004611.1 Tomato leaf curl New Delhi virus DNA A, complete sequence	2739
Sequence-363	NC_004616.1 Staphylococcus prophage phi 12, complete genome	44970
Sequence-364	NC_004629.1 Pseudomonas phage phiKZ, complete genome	280334
Sequence-365	NC_004638.1 Potato yellow mosaic Trinidad virus DNA A, complete sequence	2582
Sequence-366	NC_004644.1 Potato yellow mosaic Trinidad virus DNA B, complete sequence	2535
Sequence-367	NC_004648.1 Tomato leaf curl Malaysia virus, complete genome	2754
Sequence-368	NC_004661.1 Sida yellow vein virus DNA A, complete sequence	2612
Sequence-369	NC_004678.1 Staphylococcus phage 44AHJD, complete genome	16784
Sequence-370	NC_004685.1 Mycobacterium phage Corndog, complete genome	69777
Sequence-371	NC_004664.2 Streptomyces phage phiBT1, complete genome	41831
Sequence-372	NC_004746.1 Lactococcus phage 4268, complete genome	36596
Sequence-373	NC_004813.1 Enterobacteria phage BP-4795, complete genome	57930
Sequence-374	NC_004831.2 Enterobacteria phage SP6, complete genome	43769
Sequence-375	NC_004996.1 Streptococcus phage SM1, complete genome	34692
Sequence-376	NC_005040.1 Myzus persicae densovirus, complete genome	5499
Sequence-377	NC_004755.1 Sugarcane streak Reunion virus, complete genome	2735
Sequence-378	NC_002519.1 Roseophage SIO1 complete genome	39898
Sequence-379	NC_005260.1 Aeromonas phage Aeh1, complete genome	233234
Sequence-380	NC_003907.2 Vibrio phage VpV262, complete genome	46012
Sequence-381	NC_005041.2 Blattella germanica densovirus, complete genome	5335
Sequence-382	NC_004367.1 Callitrichine herpesvirus 3 strain CJ0149, complete genome	149696
Sequence-383	NC_001731.1 Molluscum contagiosum virus subtype 1, complete genome	190289
Sequence-384	NC_004777.1 Yersinia pestis phage phiA1122, complete genome	37555
Sequence-385	NC_003327.2 Vibrio phage VSK, complete genome	6882
Sequence-386	NC_005319.1 Euphorbia leaf curl virus DNA A, complete sequence	2746
Sequence-387	NC_005340.1 Enterobacteria phage PsP3, complete genome	30636
Sequence-388	NC_005354.1 Lactobacillus prophage Lj928, complete genome	38384
Sequence-389	NC_005360.1 Sulfolobus virus Ragged Hills, complete genome	16473
Sequence-390	NC_005822.1 Lactococcus phage phiLC3, complete genome	32172
Sequence-391	NC_001412.1 Beet curly top virus - California [Logan], complete genome	2994
Sequence-392	NC_005852.1 Tomato yellow margin leaf curl virus DNA A, complete genome	2575
Sequence-393	NC_005853.1 Tomato yellow margin leaf curl virus DNA B, complete genome	2543
Sequence-394	NC_005884.1 Pseudomonas phage PaP2, complete genome	43783
Sequence-395	NC_005845.1 Squash leaf curl Philippines virus segment A, complete genome	2739
Sequence-396	NC_005846.1 Squash leaf curl Philippines virus segment B, complete genome	2705
Sequence-397	NC_005872.1 Pyrobaculum spherical virus, complete genome	28337
Sequence-398	NC_005887.1 Burkholderia phage BcepC6B, complete genome	42415
Sequence-399	NC_005905.1 Neodiprion sertifer NPV, complete genome	86462
Sequence-400	NC_005964.2 Mycoplasma phage phiMFV1, complete genome	18855
Sequence-401	NC_002321.1 Staphylococcus phage PVL proviral DNA, complete sequence	41401
Sequence-402	NC_001132.2 Myxoma virus, complete genome	161773
Sequence-403	NC_004641.1 Tobacco leaf curl Kochi virus, complete genome	2760
Sequence-404	NC_003521.1 Panine herpesvirus 2 strain Heberling, complete genome	241087
Sequence-405	NC_004690.1 Adoxophyes honmai NPV, complete genome	113220
Sequence-406	NC_004091.1 Stachytarpheta leaf curl virus, complete genome	2749
Sequence-407	NC_005083.2 Vibrio phage KVP40, complete genome	244834
Sequence-408	NC_004735.1 Rhodothermus phage RM378, complete genome	129908
Sequence-409	NC_006151.1 Suid herpesvirus 1, complete genome	143461
Sequence-410	NC_002743.1 Tomato leaf curl virus satellite complete sequence	682
Sequence-411	NC_004033.1 Turnip crinkle virus satellite RNA, complete genome	230
Sequence-412	NC_002361.1 Columbid circovirus (CoCV), complete genome	2037
Sequence-413	NC_005048.1 Chilli leaf curl disease associated sequence virion, complete genome	1387
Sequence-414	NC_003405.1 Bhendi yellow vein mosaic virus-associated DNA beta, complete genome	1353
Sequence-415	NC_004904.1 Tomato begomovirus satellite DNA beta, complete genome	1342
Sequence-416	NC_001944.1 Beak and feather disease virus, complete genome	1993
Sequence-417	NC_001650.2 Equid herpesvirus 2 strain 86/67, complete genome	184439
Sequence-418	NC_001663.2 Hamster polyomavirus isolate Berlin-Buch, complete genome	5372
Sequence-419	NC_001491.2 Equid herpesvirus 1, complete genome	150224
Sequence-420	NC_005337.1 Bovine papular stomatitis virus, complete genome	134431
Sequence-421	NC_005879.1 Vibrio phage VP2, complete genome	39853
Sequence-422	NC_006148.1 Snake parvovirus 1, complete genome	4432
Sequence-423	NC_005839.2 Agrotis segetum granulovirus, complete genome	131680
Sequence-424	NC_005345.2 Streptomyces phage VWB, complete genome	49220
Sequence-425	NC_004812.1 Macacine herpesvirus 1, complete genome	156789
Sequence-426	NC_005856.1 Enterobacteria phage P1, complete genome	94800
Sequence-427	NC_002513.1 Bovine adenovirus type 2, complete genome	33034
Sequence-428	NC_003798.1 Lucerne transient streak virus satellite RNA, complete genome	324
Sequence-429	NC_006458.1 Tobacco bushy top virus satellite-like RNA, complete genome	781
Sequence-430	NC_001876.1 Bovine adenovirus 3 complete genome	34446
Sequence-431	NC_000942.1 Murine adenovirus A, complete genome	30944
Sequence-432	NC_000899.1 Fowl adenovirus D, complete genome	45063
Sequence-433	NC_001574.1 Cacao swollen shoot virus, complete genome	7161
Sequence-434	NC_005874.1 Zinnia leaf curl virus-associated DNA beta, complete genome	1354
Sequence-435	NC_006548.1 Pseudomonas phage B3, complete genome	38439
Sequence-436	NC_006555.1 Dendrolimus punctatus densovirus, complete genome	5039
Sequence-437	NC_006564.1 Canine papillomavirus 2, complete genome	8101
Sequence-438	NC_006633.1 Cotesia congregata virus complete genome, segment Circle1	27346
Sequence-439	NC_006642.1 Cotesia congregata virus complete genome, segment Circle10	14286
Sequence-440	NC_006643.1 Cotesia congregata virus complete genome, segment Circle11	12903
Sequence-441	NC_006644.1 Cotesia congregata virus complete genome, segment Circle12	16103
Sequence-442	NC_006645.1 Cotesia congregata virus complete genome, segment Circle13	21388
Sequence-443	NC_006646.1 Cotesia congregata virus complete genome, segment Circle14	31972
Sequence-444	NC_006647.1 Cotesia congregata virus complete genome, segment Circle15	8785
Sequence-445	NC_006648.1 Cotesia congregata virus complete genome, segment Circle17	15158
Sequence-446	NC_006649.1 Cotesia congregata virus complete genome, segment Circle18	32108
Sequence-447	NC_006650.1 Cotesia congregata virus complete genome, segment Circle19	18768
Sequence-448	NC_006634.1 Cotesia congregata virus complete genome, segment Circle2	14975
Sequence-449	NC_006651.1 Cotesia congregata virus complete genome, segment Circle20	19161
Sequence-450	NC_006652.1 Cotesia congregata virus complete genome, segment Circle21	4981
Sequence-451	NC_006653.1 Cotesia congregata virus complete genome, segment Circle22	26062
Sequence-452	NC_006654.1 Cotesia congregata virus complete genome, segment Circle23	13597
Sequence-453	NC_006655.1 Cotesia congregata virus complete genome, segment Circle25	15279
Sequence-454	NC_006656.1 Cotesia congregata virus complete genome, segment Circle26	12682
Sequence-455	NC_006635.1 Cotesia congregata virus complete genome, segment Circle3	29874
Sequence-456	NC_006657.1 Cotesia congregata virus complete genome, segment Circle30	19820
Sequence-457	NC_006658.1 Cotesia congregata virus complete genome, segment Circle31	30655
Sequence-458	NC_006659.1 Cotesia congregata virus complete genome, segment Circle32	41573
Sequence-459	NC_006660.1 Cotesia congregata virus complete genome, segment Circle33	20197
Sequence-460	NC_006661.1 Cotesia congregata virus complete genome, segment Circle35	11186
Sequence-461	NC_006662.1 Cotesia congregata virus complete genome, segment Circle36	17477
Sequence-462	NC_006636.1 Cotesia congregata virus complete genome, segment Circle4	15876
Sequence-463	NC_006637.1 Cotesia congregata virus complete genome, segment Circle5	14489
Sequence-464	NC_006638.1 Cotesia congregata virus complete genome, segment Circle6	15230
Sequence-465	NC_006639.1 Cotesia congregata virus complete genome, segment Circle7	24748
Sequence-466	NC_006640.1 Cotesia congregata virus complete genome, segment Circle8	5032
Sequence-467	NC_006641.1 Cotesia congregata virus complete genome, segment Circle9	15959
Sequence-468	NC_005946.1 Frog virus 3, complete genome	105903
Sequence-469	NC_005891.1 Vibrio phage VP5, complete genome	39786
Sequence-470	NC_005954.1 Okra leaf curl alphasatellite rep gene for replication associated protein, clone NOB-3	1377
Sequence-471	NC_003085.1 Myxococcus phage Mx8, complete genome	49534
Sequence-472	NC_001942.1 Mycoplasma phage MAV1, complete genome	15644
Sequence-473	NC_004100.1 Macroptilium yellow mosaic Florida virus DNA B, complete sequence	2605
Sequence-474	NC_005950.1 Snow goose hepatitis B virus, complete genome	3024
Sequence-475	NC_004645.1 Squash mild leaf curl virus-[Imperial Valley] DNA A, complete sequence	2612
Sequence-476	NC_004646.1 Squash mild leaf curl virus-[Imperial Valley] DNA B, complete sequence	2578
Sequence-477	NC_005342.2 Burkholderia phage Bcep43, complete genome	48024
Sequence-478	NC_003278.1 Pseudomonas phage phiCTX, complete genome	35580
Sequence-479	NC_002512.2 Rat cytomegalovirus Maastricht, complete genome	230138
Sequence-480	NC_003401.1 Macacine herpesvirus 5, genome	133719
Sequence-481	NC_003559.1 Faba bean necrotic yellows virus DNA-C, complete sequence	999
Sequence-482	NC_003560.1 Faba bean necrotic yellows virus DNA-R, complete sequence	1003
Sequence-483	NC_003561.1 Faba bean necrotic yellows virus DNA-U1, complete genome	996
Sequence-484	NC_003562.1 Faba bean necrotic yellows virus DNA-M, complete sequence	992
Sequence-485	NC_003563.1 Faba bean necrotic yellows virus DNA-S, complete sequence	1006
Sequence-486	NC_003564.1 Faba bean necrotic yellows virus DNA-U2, complete genome	1020
Sequence-487	NC_003566.1 Faba bean necrotic yellows virus DNA-N, complete sequence	986
Sequence-488	NC_024457.1 Faba bean necrotic yellows virus segment DNA-U4, complete sequence	991
Sequence-489	NC_003854.1 Pea enation mosaic virus satellite RNA, complete genome	717
Sequence-490	NC_002190.2 Infectious hypodermal and hematopoietic necrosis virus, complete genome	3909
Sequence-491	NC_003403.1 Ageratum yellow vein virus-associated DNA beta, complete genome	1347
Sequence-492	NC_004706.1 Papaya leaf curl virus-associated DNA beta, complete genome	1372
Sequence-493	NC_005497.1 Tomato leaf curl Java virus-[Ageratum] satellite DNA, complete genome	1360
Sequence-494	NC_004828.1 Avian adeno-associated virus ATCC VR-865, complete genome	4694
Sequence-495	NC_001604.1 Enterobacteria phage T7, complete genome	39937
Sequence-496	NC_005336.1 Orf virus, complete genome	139962
Sequence-497	NC_006150.1 Macacine herpesvirus 3, complete genome	221454
Sequence-498	NC_005902.1 Lymphocystis disease virus - isolate China, complete genome	186250
Sequence-499	NC_005886.2 Burkholderia cenocepacia phage BcepB1A, complete genome	47399
Sequence-500	NC_000902.1 Enterobacteria phage VT2-Sakai, complete genome	60942
Sequence-501	NC_003828.1 Tomato yellow leaf curl Sardinia virus, complete genome	2773
Sequence-502	NC_002501.1 Frog adenovirus 1, complete genome	26163
Sequence-503	NC_006384.1 Ageratum leaf curl virus - [G52], complete genome	2735
Sequence-504	NC_005833.1 Enterobacteria phage T1, complete genome	48836
Sequence-505	NC_002484.2 Bacteriophage D3, complete genome	56426
Sequence-506	NC_006451.1 Turnip crinkle virus virulent satellite RNA C, complete genome	355
Sequence-507	NC_004087.1 Sulfolobus islandicus rod-shaped virus 1, complete genome	32308
Sequence-508	NC_001405.1 Human adenovirus C, complete genome	35937
Sequence-509	NC_001720.1 Fowl adenovirus A, complete genome	43804
Sequence-510	NC_004655.1 East African cassava mosaic Zanzibar virus DNA-A, complete genome	2785
Sequence-511	NC_005844.1 Papaya leaf curl Guandong virus - [GD2] DNA A, complete sequence	2742
Sequence-512	NC_004580.1 Cotton leaf crumple virus DNA A, complete sequence	2630
Sequence-513	NC_004581.1 Cotton leaf crumple geminivirus DNA B, complete sequence	2550
Sequence-514	NC_006563.1 Trichechus manatus latirostris papillomavirus 1, complete genome	7722
Sequence-515	NC_003287.2 Enterobacteria phage M13, complete genome	6407
Sequence-516	NC_001983.1 Mungbean yellow mosaic virus DNA A, complete sequence	2723
Sequence-517	NC_006273.2 Human herpesvirus 5 strain Merlin, complete genome	235646
Sequence-518	NC_006358.1 Corchorus yellow vein virus - [Hoa Binh] DNA A, complete genome	2724
Sequence-519	NC_006359.1 Corchorus yellow vein virus - [Hoa Binh] DNA B, complete genome	2691
Sequence-520	NC_006632.1 Malvastrum yellow vein Yunnan virus satellite DNA beta, complete genome	1350
Sequence-521	NC_005888.1 Ross's goose hepatitis B virus, complete genome	3018
Sequence-522	NC_005948.1 Vibrio phage Vf33, complete genome	7965
Sequence-523	NC_001634.1 Peanut chlorotic streak virus, complete genome	8174
Sequence-524	NC_004036.1 Mirabilis mosaic virus, complete genome	7857
Sequence-525	NC_002667.1 Lactococcus prophage bIL286, complete genome	41834
Sequence-526	NC_005892.1 Sulfolobus turreted icosahedral virus, complete genome	17663
Sequence-527	NC_004333.2 Burkholderia phage Bcep781, complete genome	48247
Sequence-528	NC_005263.2 Burkholderia phage Bcep1, complete genome	48177
Sequence-529	NC_001350.1 Saimiriine herpesvirus 2 complete genome	112930
Sequence-530	NC_004765.1 Felis domesticus papillomavirus type 1, complete genome	8300
Sequence-531	NC_006147.2 Muscovy duck parvovirus, complete genome	5132
Sequence-532	NC_002738.1 Groundnut rosette virus satellite RNA, complete genome	893
Sequence-533	NC_002526.1 Bovine ephemeral fever virus, complete genome	14900
Sequence-534	NC_003200.1 Cotton leaf curl virus-associated DNA beta, complete genome	1351
Sequence-535	NC_005049.1 Tobacco leaf curl disease associated sequence virion, complete genome	1356
Sequence-536	NC_004546.1 Tobacco curly shoot virus-associated DNA beta, complete genome	1354
Sequence-537	NC_004903.1 Tomato yellow leaf curl Thailand virus satellite DNA beta, complete genome	1337
Sequence-538	NC_006260.1 Adeno-associated virus - 7, complete genome	4721
Sequence-539	NC_001826.2 Murine herpesvirus 68 strain WUMS, complete genome	119451
Sequence-540	NC_001664.2 Human herpesvirus 6A, complete genome	159322
Sequence-541	NC_005179.1 Yaba monkey tumor virus, complete genome	134721
Sequence-542	NC_004324.3 Cestrum yellow leaf curling virus, complete genome	8253
Sequence-543	NC_005842.1 Tomato leaf curl Iran virus, complete genome	2763
Sequence-544	NC_002371.2 Enterobacteria phage P22 virus, complete genome	41724
Sequence-545	NC_004642.1 Tomato severe leaf curl virus, complete genome	2593
Sequence-546	NC_002685.2 Bovine adenovirus D, complete genome	31301
Sequence-547	NC_004090.1 Ageratum yellow vein China virus-[Hn2] complete genome, isolate Hn2	2768
Sequence-548	NC_003498.1 Carnation etched ring virus, complete genome	7932
Sequence-549	NC_005344.1 Enterobacteria phage Sf6, complete genome	39043
Sequence-550	NC_003855.1 Peanut stunt virus satellite RNA, complete genome	393
Sequence-551	NC_003554.1 Figwort mosaic virus (FMV) genome	7743
Sequence-552	NC_001734.1 Canine adenovirus, complete genome	30536
Sequence-553	NC_001813.1 Duck adenovirus A, complete genome	33213
Sequence-554	NC_001958.1 Hemorrhagic enteritis virus, complete genome	26263
